penalty_player_id,penalty_player_name,penalty_type,penalty_yards,down,ydstogo,yardline_100,qtr,quarter_seconds_remaining,epa,wpa,posteam,game_id
00-0039048,M.Bergeron,Face Mask,15.0,2.0,10.0,44.0,1.0,771.0,-1.2248180103488266,-0.020073413848876953,ATL,2024_04_NO_ATL
00-0037238,D.London,Offensive Pass Interference,10.0,1.0,10.0,39.0,2.0,700.0,-0.8403148900251836,-0.021807819604873657,ATL,2024_04_NO_ATL
00-0032415,M.Judon,Unnecessary Roughness,15.0,2.0,10.0,74.0,2.0,76.0,1.1801789386663586,0.05124160647392273,NO,2024_04_NO_ATL
00-0038645,S.Anderson,Unnecessary Roughness,15.0,2.0,13.0,39.0,1.0,499.0,-1.7471568030305207,-0.019897043704986572,PIT,2024_04_PIT_IND
00-0034789,M.Fitzpatrick,Unnecessary Roughness,15.0,2.0,10.0,58.0,3.0,92.0,1.3272438268177211,0.015844643115997314,IND,2024_04_PIT_IND
00-0036305,T.Gipson,Face Mask,15.0,2.0,2.0,62.0,2.0,587.0,1.4203680253122002,0.03173750638961792,DET,2024_04_SEA_DET
00-0038914,M.Curtis,Face Mask,0.0,2.0,5.0,44.0,2.0,2.0,-1.1948466043923045,-0.016903527081012726,SEA,2024_04_SEA_DET
00-0037240,J.Williams,Unsportsmanlike Conduct,15.0,1.0,10.0,70.0,3.0,183.0,5.044859228655696,0.07876177313073829,DET,2024_04_SEA_DET
00-0032211,T.Lockett,Offensive Pass Interference,10.0,4.0,3.0,39.0,4.0,558.0,-0.9452789940405637,-0.03730229288339615,SEA,2024_04_SEA_DET
00-0036754,B.Wright,Offensive Pass Interference,10.0,1.0,10.0,10.0,4.0,377.0,-1.1643613881897181,-0.007306158542633057,DET,2024_04_SEA_DET
00-0036374,L.Sneed,Taunting,15.0,1.0,10.0,70.0,2.0,500.0,0.8696933654136956,0.027019798755645752,MIA,2024_04_TEN_MIA
