penalty_player_id,penalty_player_name,penalty_type,penalty_yards,down,ydstogo,yardline_100,qtr,quarter_seconds_remaining,epa,wpa,posteam,game_id,week
00-0020804,C.McIntyre,Face Mask,15.0,4.0,6.0,37.0,1.0,96.0,-1.7003913545049727,-0.045775771141052246,BUF,2011_05_PHI_BUF,5
00-0022077,N.Asomugha,Face Mask,15.0,3.0,11.0,38.0,3.0,212.0,3.189181318448391,0.02002650499343872,BUF,2011_05_PHI_BUF,5
00-0028046,Q.Carter,Unnecessary Roughness,13.0,3.0,6.0,25.0,2.0,170.0,1.7610491082305089,0.025688886642456055,LAC,2011_05_SD_DEN,5
00-0022780,D.Williams,Unnecessary Roughness,15.0,2.0,8.0,40.0,4.0,166.0,1.7648483738885261,0.036831796169281006,LAC,2011_05_SD_DEN,5
00-0026171,K.Phillips,Unnecessary Roughness,12.0,2.0,10.0,23.0,1.0,763.0,0.9368235416477546,0.03039240837097168,SEA,2011_05_SEA_NYG,5
00-0027005,H.Nicks,Offensive Pass Interference,10.0,2.0,8.0,63.0,4.0,845.0,-0.9265161477960646,-0.043026894330978394,NYG,2011_05_SEA_NYG,5
,,Unsportsmanlike Conduct,15.0,1.0,10.0,68.0,3.0,547.0,-1.6433460768312216,0.00009386450983583927,TB,2011_05_TB_SF,5
00-0022844,S.Jones,Unnecessary Roughness,8.0,2.0,6.0,12.0,3.0,234.0,0.7220084119471721,0.0001431107521057129,SF,2011_05_TB_SF,5
00-0025513,D.Goldson,Unnecessary Roughness,15.0,3.0,5.0,87.0,4.0,813.0,2.614658806938678,-8.481853001285344e-6,TB,2011_05_TB_SF,5
00-0020840,R.Clark,Unnecessary Roughness,15.0,3.0,7.0,56.0,1.0,827.0,2.514031108468771,0.08402383327484131,TEN,2011_05_TEN_PIT,5
00-0023471,B.Ruud,Face Mask,15.0,1.0,10.0,72.0,3.0,863.0,0.841580459382385,0.007494091987609863,PIT,2011_05_TEN_PIT,5
00-0007091,M.Hasselbeck,Intentional Grounding,10.0,2.0,9.0,9.0,4.0,227.0,-1.5288176939357072,-0.006536776782013476,TEN,2011_05_TEN_PIT,5
00-0026364,St.Johnson,Face Mask,15.0,1.0,10.0,27.0,4.0,250.0,-4.111060778901447,-0.18343061208724976,BUF,2011_06_BUF_NYG,6
00-0023462,R.White,Unnecessary Roughness,15.0,1.0,10.0,68.0,2.0,495.0,0.9870790215209126,0.02619531750679016,ATL,2011_06_CAR_ATL,6
00-0026237,A.Caldwell,Offensive Pass Interference,7.0,3.0,7.0,85.0,1.0,80.0,-0.9120196518488228,-0.030037879943847656,CIN,2011_06_IND_CIN,6
00-0027044,M.Johnson,Unsportsmanlike Conduct,15.0,1.0,10.0,67.0,4.0,156.0,-8.207768753520213,-0.2751865355927027,IND,2011_06_IND_CIN,6
00-0022080,R.Mathis,Face Mask,2.0,1.0,10.0,72.0,2.0,743.0,4.801445985212922,0.03946077823638916,PIT,2011_06_JAX_PIT,6
00-0023287,J.Leonhard,Unnecessary Roughness,15.0,1.0,10.0,54.0,3.0,768.0,1.8479679204756394,0.019701391458511353,MIA,2011_06_MIA_NYJ,6
00-0027607,T.Larsen,Face Mask,13.0,1.0,10.0,77.0,3.0,762.0,-1.1273252051323652,-0.015385329723358154,TB,2011_06_NO_TB,6
00-0026990,M.Jenkins,Unnecessary Roughness,15.0,1.0,10.0,81.0,3.0,190.0,2.2747973944060504,0.046507835388183594,TB,2011_06_NO_TB,6
00-0027725,C.Harbor,Face Mask,15.0,4.0,15.0,85.0,1.0,847.0,-0.34991403366439044,0.009185343980789185,PHI,2011_06_PHI_WAS,6
00-0027857,T.Williams,Unnecessary Roughness,15.0,3.0,16.0,38.0,1.0,729.0,-1.66568384738639,-0.07983377575874329,WAS,2011_06_PHI_WAS,6
00-0027835,K.Coleman,Unnecessary Roughness,15.0,3.0,8.0,93.0,2.0,809.0,2.0118777132593095,0.04994560778141022,WAS,2011_06_PHI_WAS,6
,,Unsportsmanlike Conduct,15.0,3.0,10.0,16.0,1.0,290.0,3.1704575419425964,0.08190946478241579,DET,2011_06_SF_DET,6
00-0022863,I.Sopoaga,Unnecessary Roughness,15.0,2.0,5.0,43.0,2.0,411.0,-1.4905765228904784,-0.0619928240776062,SF,2011_06_SF_DET,6
00-0026498,M.Stafford,Intentional Grounding,10.0,3.0,11.0,43.0,3.0,395.0,-1.7599090286530554,-0.08363834023475647,DET,2011_06_SF_DET,6
00-0027855,N.Suh,Face Mask,15.0,1.0,10.0,77.0,1.0,610.0,0.7146246223710477,0.01442950963973999,ATL,2011_07_ATL_DET,7
00-0025440,E.Wright,Face Mask,15.0,3.0,6.0,55.0,4.0,358.0,2.6440844404278323,0.03871309757232666,ATL,2011_07_ATL_DET,7
00-0024269,B.Pollard,Unnecessary Roughness,15.0,3.0,7.0,67.0,3.0,759.0,2.1200375566259027,0.04104799032211304,JAX,2011_07_BAL_JAX,7
00-0026346,H.Nakamura,Illegal Touch Kick,5.0,,0.0,35.0,4.0,122.0,2.0854649518150836,0.045500218868255615,JAX,2011_07_BAL_JAX,7
00-0025473,M.Yanda,Unnecessary Roughness,15.0,2.0,10.0,80.0,4.0,98.0,-4.058287264429964,-0.15740452706813812,BAL,2011_07_BAL_JAX,7
00-0022085,A.Adams,Unnecessary Roughness,14.0,1.0,10.0,37.0,4.0,869.0,1.556229909765534,0.015032373368740082,TB,2011_07_CHI_TB,7
